"Turnover of postal service, delivery and telecommunication service by Items, Year and Telecommunications"

"Items";"Year";"Total";"Postal service, delivery";"Telecommunication service"
"Turnover - Bill. Dongs";"2007";58864.1;1611.4;57252.7
"Turnover - Bill. Dongs";"2008";89750.2;2315.3;87434.9
"Turnover - Bill. Dongs";"2009";126352.5;3141.8;123210.7
"Turnover - Bill. Dongs";"2010";182182.6;4017.5;178165.1
"Turnover - Bill. Dongs";"2011";150755.1;5129.1;145626.0
"Turnover - Bill. Dongs";"2012";182089.6;5701.2;176388.4
"Turnover - Bill. Dongs";"2013 (*)";269256.0;8256.0;261000.0
"Turnover - Bill. Dongs";"2014 (*)";307708.0;8708.0;299000.0
"Turnover - Bill. Dongs";"2015";334765.5;10765.5;324000.0
"Turnover - Bill. Dongs";"Pre. 2016";367395.5;13089.5;354306.0
"Index (Previous year = 100) - %";"2007";..;..;..
"Index (Previous year = 100) - %";"2008";152.5;143.7;152.7
"Index (Previous year = 100) - %";"2009";140.8;135.7;140.9
"Index (Previous year = 100) - %";"2010";144.2;127.9;144.6
"Index (Previous year = 100) - %";"2011";82.7;127.7;81.7
"Index (Previous year = 100) - %";"2012";120.8;111.2;121.1
"Index (Previous year = 100) - %";"2013 (*)";147.9;144.8;148.0
"Index (Previous year = 100) - %";"2014 (*)";114.3;105.5;114.6
"Index (Previous year = 100) - %";"2015";108.8;123.6;108.4
"Index (Previous year = 100) - %";"Pre. 2016";109.7;121.6;109.4
